no,waktu_terima_lokal,seq,ts_epoch_ms,tr_epoch_ms,delay_ms,jitter_ms,delay_valid,time_synced,packet_lost_before_this,n_sent_sejauh_ini,n_received_sejauh_ini,payload_size_bytes,payload_size_bit,elapsed_time_sec,throughput_bps,lat_raw,lon_raw,lat_kf,lon_kf,nav_mode,delivery_status,speed,pwm_l,pwm_r,battery
1,2026-07-10 16:50:22.565,383,1783677022000.0,1783677022564.84,564.840087890625,0.0,True,True,0,1,1,816,6528,0.0,0.0,-7.051091,110.3993,-7.051098,110.3993,1,DELIVERY,0.0,0,0,12.76
2,2026-07-10 16:50:22.572,384,1783677022000.0,1783677022571.737,571.737060546875,6.89697265625,True,True,0,2,2,816,6528,0.00689697265625,1893004.460176991,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.76
3,2026-07-10 16:50:22.770,385,1783677022000.0,1783677022770.028,770.028076171875,198.291015625,True,True,0,3,3,817,6536,0.20518798828125,95483.17211017906,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.76
4,2026-07-10 16:50:23.148,386,1783677023000.0,1783677023147.793,147.79296875,622.235107421875,True,True,0,4,4,815,6520,0.582952880859375,44792.64252285077,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.76
5,2026-07-10 16:50:23.185,387,1783677023000.0,1783677023184.923,184.923095703125,37.130126953125,True,True,0,5,5,816,6528,0.6200830078125,52638.11391179041,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
6,2026-07-10 16:50:23.475,388,1783677023000.0,1783677023474.752,474.751953125,289.828857421875,True,True,0,6,6,815,6520,0.909911865234375,43037.13523937087,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
7,2026-07-10 16:50:23.597,389,1783677023000.0,1783677023597.115,597.114990234375,122.363037109375,True,True,0,7,7,815,6520,1.03227490234375,44251.77818068122,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
8,2026-07-10 16:50:24.057,391,1783677024000.0,1783677024056.302,56.302001953125,540.81298828125,True,True,0,8,8,814,6512,1.4914619140625,34993.8536867076,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
9,2026-07-10 16:50:24.207,392,1783677024000.0,1783677024207.128,207.1279296875,150.825927734375,True,True,0,9,9,815,6520,1.642287841796875,35750.12766078905,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
10,2026-07-10 16:50:24.405,393,1783677024000.0,1783677024404.631,404.631103515625,197.503173828125,True,True,0,10,10,813,6504,1.839791015625,35447.50433398834,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
11,2026-07-10 16:50:24.646,394,1783677024000.0,1783677024645.673,645.673095703125,241.0419921875,True,True,0,11,11,817,6536,2.0808330078125,34482.34420090737,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
12,2026-07-10 16:50:25.032,396,1783677025000.0,1783677025031.608,31.60791015625,614.065185546875,True,True,0,12,12,816,6528,2.466767822265625,31733.83376150214,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
13,2026-07-10 16:50:25.307,397,1783677025000.0,1783677025307.231,307.23095703125,275.623046875,True,True,0,13,13,817,6536,2.742390869140625,30927.757583505423,-7.051089,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
14,2026-07-10 16:50:25.448,398,1783677025000.0,1783677025447.798,447.798095703125,140.567138671875,True,True,0,14,14,815,6520,2.8829580078125,31681.349416984034,-7.051087,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
15,2026-07-10 16:50:25.716,399,1783677025000.0,1783677025715.959,715.958984375,268.160888671875,True,True,0,15,15,817,6536,3.151118896484375,31059.443713530884,-7.051087,110.3993,-7.051097,110.3993,1,DELIVERY,0.0,0,0,12.78
16,2026-07-10 16:50:26.024,400,1783677026000.0,1783677026023.948,23.947998046875,692.010986328125,True,True,0,16,16,818,6544,3.45910791015625,30185.81747433357,-7.051087,110.3993,-7.051096,110.3993,1,DELIVERY,0.0,0,0,12.78
17,2026-07-10 16:50:26.243,401,1783677026000.0,1783677026242.946,242.946044921875,218.998046875,True,True,0,17,17,818,6544,3.67810595703125,30167.700793905446,-7.051087,110.3993,-7.051096,110.3993,1,DELIVERY,0.0,0,0,12.78
18,2026-07-10 16:50:26.452,402,1783677026000.0,1783677026452.104,452.10400390625,209.157958984375,True,True,0,18,18,835,6680,3.887263916015625,30262.931085105964,-7.051087,110.3993,-7.051096,110.3993,1,DELIVERY,0.0,18,18,12.78
19,2026-07-10 16:50:26.551,403,1783677026000.0,1783677026551.431,551.430908203125,99.326904296875,True,True,0,19,19,833,6664,3.9865908203125,31180.526320044075,-7.051087,110.3993,-7.051096,110.3993,1,DELIVERY,0.0,79,67,12.78
20,2026-07-10 16:50:26.673,404,1783677026000.0,1783677026673.477,673.47705078125,122.046142578125,True,True,0,20,20,833,6664,4.108636962890625,31876.264849610292,-7.051087,110.3993,-7.051096,110.3993,1,DELIVERY,0.0,79,67,12.78
21,2026-07-10 16:50:27.085,406,1783677027000.0,1783677027085.19,85.18994140625,588.287109375,True,True,0,21,21,834,6672,4.520349853515625,30448.970646144313,-7.051087,110.3993,-7.051095,110.3993,1,DELIVERY,0.0,79,67,12.78
22,2026-07-10 16:50:27.289,407,1783677027000.0,1783677027288.864,288.864013671875,203.674072265625,True,True,0,22,22,833,6664,4.72402392578125,30546.839361347073,-7.051087,110.3993,-7.051095,110.3993,1,DELIVERY,0.0,15,15,12.78
23,2026-07-10 16:50:27.487,408,1783677027000.0,1783677027487.457,487.45703125,198.593017578125,True,True,0,23,23,819,6552,4.922616943359375,30645.488311558587,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.0,75,75,12.78
24,2026-07-10 16:50:27.701,409,1783677027000.0,1783677027700.929,700.928955078125,213.471923828125,True,True,0,24,24,823,6584,5.1360888671875,30653.675213025173,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.0,135,102,12.78
25,2026-07-10 16:50:28.101,411,1783677028000.0,1783677028101.377,101.376953125,599.552001953125,True,True,0,25,25,822,6576,5.536536865234375,29624.294751816273,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.0,180,102,12.78
26,2026-07-10 16:50:28.320,412,1783677028000.0,1783677028320.229,320.22900390625,218.85205078125,True,True,0,26,26,831,6648,5.755388916015625,29652.90486713942,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.049,9,9,12.78
27,2026-07-10 16:50:28.588,413,1783677028000.0,1783677028587.751,587.7509765625,267.52197265625,True,True,0,27,27,833,6664,6.022910888671875,29442.242011836068,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.19,72,72,12.78
28,2026-07-10 16:50:28.724,414,1783677028000.0,1783677028724.193,724.193115234375,136.442138671875,True,True,0,28,28,835,6680,6.15935302734375,29874.566238226213,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.19,132,120,12.78
29,2026-07-10 16:50:29.200,416,1783677029000.0,1783677029199.446,199.446044921875,524.7470703125,True,True,0,29,29,831,6648,6.63460595703125,28736.597355558966,-7.051087,110.3993,-7.051095,110.3993,3,DELIVERY,0.3,172,121,12.78
30,2026-07-10 16:50:29.350,417,1783677029000.0,1783677029349.617,349.616943359375,150.1708984375,True,True,0,30,30,829,6632,6.78477685546875,29078.038114249768,-7.051087,110.3993,-7.051094,110.3993,3,DELIVERY,0.378,6,6,12.66
31,2026-07-10 16:50:29.559,418,1783677029000.0,1783677029558.879,558.87890625,209.261962890625,True,True,0,31,31,837,6696,6.994038818359375,29165.40861405306,-7.051087,110.3993,-7.051094,110.3993,3,DELIVERY,0.3,69,69,12.66
32,2026-07-10 16:50:29.822,419,1783677029000.0,1783677029822.059,822.05908203125,263.18017578125,True,True,0,32,32,832,6656,7.257218994140625,29024.89234100111,-7.051087,110.3993,-7.051094,110.3993,3,DELIVERY,0.3,129,129,12.66
33,2026-07-10 16:50:30.407,421,1783677030000.0,1783677030406.756,406.756103515625,415.302978515625,True,True,0,33,33,836,6688,7.841916015625,27713.635234931673,-7.051085,110.3993,-7.051093,110.3993,3,DELIVERY,0.377,115,175,12.66
34,2026-07-10 16:50:30.431,422,1783677030000.0,1783677030431.144,431.14404296875,24.387939453125,True,True,0,34,34,838,6704,7.866303955078125,28479.95720472703,-7.051085,110.3993,-7.051093,110.3993,3,DELIVERY,0.443,6,6,12.66
35,2026-07-10 16:50:30.941,423,1783677030000.0,1783677030941.141,941.14111328125,509.9970703125,True,True,0,35,35,844,6752,8.376301025390624,27552.018402924758,-7.051085,110.3993,-7.051092,110.3993,3,DELIVERY,0.336,66,66,12.66
36,2026-07-10 16:50:31.001,424,1783677031000.0,1783677031001.308,1.30810546875,939.8330078125,True,True,0,36,36,847,6776,8.436468017578125,28158.703322886162,-7.051085,110.3993,-7.051092,110.3993,3,DELIVERY,0.336,105,129,12.66
37,2026-07-10 16:50:31.019,425,1783677031000.0,1783677031018.773,18.77294921875,17.46484375,True,True,0,37,37,844,6752,8.453932861328125,28899.21223737022,-7.051086,110.3993,-7.051091,110.3993,3,DELIVERY,0.37,106,179,12.66
38,2026-07-10 16:50:31.346,426,1783677031000.0,1783677031346.399,346.39892578125,327.6259765625,True,True,0,38,38,843,6744,8.781558837890625,28589.001637926158,-7.051086,110.3993,-7.051091,110.3993,3,DELIVERY,0.37,106,179,12.66
39,2026-07-10 16:50:31.555,427,1783677031000.0,1783677031555.042,555.0419921875,208.64306640625,True,True,0,39,39,843,6744,8.990201904296875,28675.662987811684,-7.051086,110.3993,-7.051091,110.3993,3,DELIVERY,0.37,106,179,12.66
40,2026-07-10 16:50:31.660,428,1783677031000.0,1783677031660.303,660.302978515625,105.260986328125,True,True,0,40,40,843,6744,9.095462890625,29085.270665297794,-7.051086,110.3993,-7.051091,110.3993,3,DELIVERY,0.425,66,66,12.64
41,2026-07-10 16:50:33.712,429,1783677032000.0,1783677033712.417,1712.4169921875,1052.114013671875,True,True,0,41,41,838,6704,11.147576904296875,24332.462770043458,-7.051086,110.3993,-7.05109,110.3993,3,DELIVERY,0.338,121,126,12.64
42,2026-07-10 16:50:33.715,430,1783677032000.0,1783677033714.317,1714.31689453125,1.89990234375,True,True,0,42,42,839,6712,11.149476806640624,24930.317791633697,-7.051084,110.3993,-7.051089,110.3993,3,DELIVERY,0.361,124,170,12.64
43,2026-07-10 16:50:33.839,431,1783677032000.0,1783677033838.891,1838.89111328125,124.57421875,True,True,0,43,43,839,6712,11.274051025390625,25250.196168074966,-7.051084,110.3993,-7.051089,110.3993,3,DELIVERY,0.361,124,170,12.64
44,2026-07-10 16:50:33.841,432,1783677032000.0,1783677033840.367,1840.366943359375,1.475830078125,True,True,0,44,44,839,6712,11.27552685546875,25842.162741927725,-7.051084,110.3993,-7.051089,110.3993,3,DELIVERY,0.361,124,170,12.64
